PROC_NAME,PRCS_OWNER,USER_COUNT,RUN_COUNT,AVG_RUN_TIME
SFCPTMFE [SQR-R],PS,1,11,10.9
SFA_EA_STAGE [AE],PS,1,33,16.6
SJ_SB1440 [AE],SJSU,2,2,215
SJSR068A [SQR-P],SJSU,1,1,15
SJCC026 [SQR-P],SJSU,1,8,16.1
SRSTDLST [SQR-R],PS,1,2,1752
SJFA010 [SQR-R],SJSU,1,1,15
CSUFA028 [SQR-R],CSU,1,1,15
SJAD013U [SQR-R],SJSU,1,13,14
SJSF094 [SQR-R],SJSU,1,4,13
FAPINCLC [CBL],PS,1,1,1532
XRFWIN [XML-P],PS,1,1,25
CSUHR022 [SQR-R],CSU,1,1,443
SJCCDRO [SQR-R],SJSU,2,2,5.5
SJHR031 [SQR-P],SJSU,1,8386,14.8
SJUT03 [JOB],SJSU,1,258,231.7
FAPTRMU1 [CBL],PS,2,498,4713.8
CSUFA5PU [SQR-R],CSU,1,43,117.3
SRPCGGPR [CBL],PS,2,18,34.4
SJTF006 [SQR-R],SJSU,70,2820,13.8
CSU_REM_02 [AE],CSU,2,57,675.6
CSUHR001 [SQR-R],CSU,9,3919,15.3
SJSR009 [SQR-R],SJSU,57,638,43.1
PSQUERY [AE],PS,5,95,148
CCSEVSYF [SQR-R],PS,1,597,12.5
POS006 [SQR-R],PS,2,260,80.5
PERS_REFRESH [AE],PS,1,49,1051.8
CSUTL008 [SQR-R],CSU,6,284,27.9
FAPBDGTD [CBL],PS,1,53,103.8
FAPLBOG1 [CBL],PS,6,907,93.1
SJSA001 [SQR-R],SJSU,2,62,21.2
ECIN0001 [SQR-R],PS,4,258,82.1
SJUT035 [SQR-R],SJSU,1,103,14
CCSEVCMP [SQR-R],PS,1,309,605.5
SJHR015 [SQR-R],SJSU,43,221,16.6
PSPBARUN [CBL],PS,3,212,105.9
SFPRGPLD [SQR-R],PS,5,524,12.4
SJSR093 [SQR-R],SJSU,3,519,12.7
CSU_MCS_RIN [AE],CSU,1,56,11.4
SCC_BAT_RPLY [AE],PS,2,4,23.3
SJCV026A [SQR-R],SJSU,3,52,16.3
SJFA002 [SQR-R],SJSU,1,118,51
SAD_TEST_PST [AE],PS,1,325,765
FAPPIDR0 [CBL],PS,1,122,12.6
GP_ABS_NARUN [AE],PS,5,12,36.4
CSULCD15 [AE],CSU,3,12,1779.3
SAA_RPT_PURG [AE],PS,1,4,388.3
CSU_CM_SM [AE],CSU,2,9,24.7
CSU_CAS_CALC [AE],CSU,2,78,92.9
SJ_ENRL_TOT [AE],SJSU,2,25,29.7
SRGRDLPS [SQR-R],PS,1,7,16.1
XRFWIN [CR],PS,1,2,6.5
SJSF035 [SQR-R],SJSU,1,1,15
SRPCERTD [CBL],PS,2,5,623.2
CSU_ADMAP_AE [AE],CSU,1,20,48.9
CSUCO013 [SQR-R],CSU,1,48,18.5
FAPPKEAL [CBL],PS,1,29,1164.6
SJSR050 [SQR-R],SJSU,2,6,17.2
SJSR101 [SQR-R],SJSU,4,15,228.5
SJ_ATG_APPLD [AE],SJSU,2,3,43
CSULCD51 [SQR-R],CSU,1,1,60
TREEMAINT [AE],PS,1,3,12.7
CSUBAS03 [SQR-R],CSU,2,20,1089.8
CSU_CG_RECN [AE],CSU,1,3,3111.7
SJSR121 [SQR-P],SJSU,1,28,1101.7
SJSR095 [SQR-P],SJSU,2,5,132.6
SF1098VP [SQR-R],PS,1,2,137.5
SJSF091 [SQR-R],SJSU,1,1,221
TRN004-- [CR],PS,1,1,12
SFPQPYWK [CBL],PS,7,6776,119.8
SCRTY_OPRCLS [AE],PS,1,356,30.9
SJUT02 [JOB],SJSU,1,258,718.9
SJ_MSG_EMAIL [AE],SJSU,1,318,297
SJUT052 [SQR-R],SJSU,1,254,13.5
SRSTDNT2 [SQR-R],PS,69,2160,12.7
SJSRPDC [SQR-R],SJSU,1,424,13.3
SJ_RUN_SR008 [AE],SJSU,1,3285,26
SJSF042 [SQR-R],SJSU,1,359,68.8
USERPROFILE [AE],PS,1,1262,104.3
SJUT044 [SQR-R],SJSU,1,358,506.3
SRPCGPPR [CBL],PS,2,28,238.4
ADTRNLOD [SQR-R],PS,4,245,14.5
CSUAD026 [SQR-R],CSU,4,231,13.1
CSUADTRN [SQR-R],CSU,4,326,47.1
SFA_ATB [AE],PS,1,1,72
SRCLSRST [SQR-R],PS,46,622,20.1
HRS_JOB_AGNT [AE],PS,2,258,17.1
CSUPER099 [AE],CSU,1,305,791.4
SJ_CC_EML_PF [AE],SJSU,1,357,23
BAS003 [SQR-R],PS,3,196,12.2
CSUFA006 [SQR-R],CSU,2,46,69.8
SRRQRADV [SQR-R],PS,1,2,13
CSUAD119 [SQR-R],CSU,1,218,13.7
CSUAD121 [SQR-R],CSU,3,343,22.1
CCLTRGEN [SQR-R],PS,1,82,106.2
SRTRPURG [SQR-R],PS,1,5,23.4
PRJCS_CATLOG [AE],PS,2,158,125.8
CSU_DD_REF [AE],CSU,2,184,12.6
CSU_PSRSFTPO [AE],CSU,3,203,15
SFPCCALC [CBL],PS,1,8,714.1
SRPCEMSS [CBL],PS,3,20,50.3
SFPCLCAN [CBL],PS,1,9,454.2
SJSR110 [SQR-R],SJSU,2,3,149
SFA_SAP_BDRV [AE],PS,1,44,213.7
CSUCO014 [SQR-R],CSU,1,13,841.2
SJFA015 [SQR-P],SJSU,1,14,16.7
CSUBAS08 [SQR-R],CSU,1,2,46
SJSF062 [SQR-R],SJSU,1,1,14
CSUAA110 [AE],CSU,2,2,12
SJCO004 [SQR-R],SJSU,1,19,3949.8
CSU_AM_GAP02 [AE],CSU,1,1,22386
TRN002-- [CR],PS,4,17,9.9
CSULBDST [JOB],CSU,1,11,239.7
SJSF060 [SQR-R],SJSU,1,26,13.9
CSUSR010 [SQR-R],CSU,1,2,480
CSUFA011 [SQR-R],CSU,1,48,14
