PROC_NAME,PRCS_OWNER,USER_COUNT,RUN_COUNT,AVG_RUN_TIME
CSU_ESP_PFL [AE],CSU,1,14,13.2
CSU_ESP_PST [AE],CSU,2,89,223.9
CSU_MCS_OUT [AE],CSU,1,33,11.4
CSU_DD_NACHA [AE],CSU,2,182,22.8
CSU_DIR_LOAN [AE],CSU,2,208,130.5
CSU_MCS_RVAL [AE],CSU,1,60,619.3
PSXPARCHATTR [AE],PS,1,51,11.7
SJ_SR_WST_SG [AE],SJSU,1,5,105.6
SJHR010 [SQR-R],SJSU,149,1337,18.2
SJ_FA_INW_ST [AE],SJSU,2,259,11.4
SJ_AD_APPL_W [AE],SJSU,1,57,14.6
SJSR021 [SQR-P],SJSU,2,3,630.3
SJSR058 [SQR-P],SJSU,1,9,15
SJSF043 [SQR-R],SJSU,1,1,1360
SJUT014 [SQR-R],SJSU,1,359,302.3
SJSR051 [SQR-P],SJSU,4,199,11.9
SJCC003 [SQR-R],SJSU,7,298,27
SJCC004 [SQR-R],SJSU,3,58,65.7
SJSR063 [SQR-R],SJSU,1,8,11.5
SJSR077 [SQR-R],SJSU,2,5,16.8
SJCC015 [SQR-P],SJSU,1,1,45
SJTL005 [SQR-R],SJSU,185,3282,12.9
SJSR118 [SQR-P],SJSU,1,22,18.9
SJFA001 [SQR-R],SJSU,1,143,49.1
SJSR069 [SQR-R],SJSU,1,2,11.5
SJ_MSG_EXPR [AE],SJSU,1,355,67.8
SJLCD007 [SQR-R],SJSU,92,1388,17.7
SJSF063 [SQR-R],SJSU,1,173,313.1
SJSR096 [SQR-R],SJSU,4,13,246.1
SJAD007 [SQR-P],SJSU,4,232,194.6
SJSR052 [SQR-R],SJSU,2,8,88.4
SJPER020 [SQR-R],SJSU,1,2,14
SJSF031 [SQR-R],SJSU,1,33,15.9
SJSR102 [SQR-R],SJSU,1,5,26.4
SJSF012 [SQR-R],SJSU,1,4,10
SJ_SR_TC_SUB [AE],SJSU,2,91,13.6
SJ_FA_INW_EX [AE],SJSU,2,214,11.2
SJHR026 [SQR-R],SJSU,3,94,14.2
SJUT008 [SQR-R],SJSU,1,12,95.3
SJSR044 [SQR-P],SJSU,1,2,168.5
SJHR020 [SQR-R],SJSU,1,1,7
SJSF089 [SQR-R],SJSU,1,254,169.1
SJLCD004 [SQR-R],SJSU,64,293,54.7
SJBAS007 [SQR-R],SJSU,4,45,15.6
SJSF090 [SQR-R],SJSU,1,1,15
CSUPSRO [JOB],CSU,3,203,79.2
CSUPY01A [SQR-R],CSU,2,17,56.8
CSUAD028 [SQR-R],CSU,1,8,68
CSU_ESP_BIL [AE],CSU,1,7,12.9
CSU_FA_MCS_E [AE],CSU,1,31,1249.1
CSUPY015 [SQR-R],CSU,1,3,8.7
CSUADM16 [JOB],CSU,3,471,87.3
CSU_FADB_ERR [AE],CSU,1,2,14
CSU_CGI_IN [AE],CSU,1,70,10.9
CSU_APDB_34 [AE],CSU,2,67,11.3
CSU_CM_GRD [AE],CSU,1,2,10.5
CSUFA5SU [SQR-R],CSU,1,43,2881.1
CSUBB010 [SQR-R],CSU,1,1,257
CSUSF010 [SQR-R],CSU,1,1,91
CSU_MCS_SM [AE],CSU,1,57,97
CSU_ERSFA_FL [AE],CSU,1,5,111.6
CSUCO020 [SQR-R],CSU,1,2,98.5
SRRSTRPT [SQR-R],PS,29,209,29.9
SSF_PRNT_INV [XML-P],PS,1,3,239.7
SCC_SL_SMP [AE],PS,1,168,9208.8
POS006A [SQR-R],PS,2,258,47.3
SFA_SSACCESS [AE],PS,2,626,13.8
SFA_COD_OUT [AE],PS,4,631,12.4
FA882 [CR],PS,2,3,14.3
SRROSTER [SQR-R],PS,2,18,13.3
HR_MASS_PREP [AE],PS,1,13,36.4
SFPGRPST [CBL],PS,7,530,104.7
SSR_ENRLSYNC [AE],PS,2,28,11.9
TRN020-- [CR],PS,2,5,6
SFA_NSLDSUPD [AE],PS,2,53,200.9
CSUBAS [JOB],CSU,1,1,1552
CSUESP [JOB],CSU,1,11,2009.9
SJSRCLC [JOB],SJSU,1,2,75
ADAPDELJ [JOB],PS,3,53,91.1
SRPCGPPJ [JOB],PS,2,28,303.5
SRPGLJOB [JOB],PS,1,7,81.7
FA854 [CR],PS,1,2,284.5
FAPCODIN [CBL],PS,4,1166,31.8
FAPPKASN [CBL],PS,1,121,93.5
FAPSAR00 [CBL],PS,2,139,3910.8
SFPBIPRC [CBL],PS,4,57,201.4
SFPREFND [CBL],PS,5,865,89.3
SRPCCONP [CBL],PS,2,14,1229
BEN713 [SQR-R],PS,1,1,7
FANSEL [SQR-R],PS,2,270,39.3
SFRSCVW [SQR-R],PS,1,102,22.6
SJAD021 [SQR-R],SJSU,6,826,22
SJAD023 [SQR-R],SJSU,3,149,13.9
SJFA111 [SQR-R],SJSU,1,131,212.7
SJGP006 [SQR-R],SJSU,7,54,75.5
SJHR027 [SQR-R],SJSU,1,256,16.2
SJSF039 [SQR-R],SJSU,2,45,11.2
SJSF041 [SQR-R],SJSU,2,6,78.7
SJSF054 [SQR-R],SJSU,1,71,1127.1
SJSF074 [SQR-R],SJSU,1,67,1211.2
SJSR045 [SQR-R],SJSU,1,2,828
SJSR059 [SQR-R],SJSU,1,3,72.7
SJSR068 [SQR-R],SJSU,1,2,33.5
SJSR115 [SQR-R],SJSU,41,151,34.4
SJSR116 [SQR-R],SJSU,5,290,921.4
SJTL006 [SQR-R],SJSU,18,200,12.8
SJUT016 [SQR-R],SJSU,1,1019,182.8
ADAPPDEL [SQR-R],PS,3,53,57.3
ADFUNNEL [SQR-R],PS,1,1,166
CSUAD021 [SQR-R],CSU,3,451,81.4
CSUAD022 [SQR-R],CSU,1,1,254
CSUAD16U [SQR-R],CSU,3,471,51.2
CSUBAS01 [SQR-R],CSU,6,1163,17.9
CSUBB02D [SQR-R],CSU,2,18,71.9
CSUCO009 [SQR-R],CSU,1,37,18.7
CSUESP10 [SQR-R],CSU,1,11,1638
CSUESP30 [SQR-R],CSU,1,11,56.8
CSULCD10 [SQR-R],CSU,2,11,833.5
CSULCD40 [SQR-R],CSU,1,13,3038.5
CSUSF007 [SQR-R],CSU,1,1,257
CSUTL015 [SQR-R],CSU,6,29,12.4
SFCOLLEC [SQR-R],PS,3,401,1067.5
SJBAS008 [SQR-R],SJSU,6,65,13.8
SJLCD019 [SQR-R],SJSU,2,14,12.4
SJSR028R [SQR-R],SJSU,5,177,413.6
SJAD012 [SQR-P],SJSU,1,350,14.3
SJAD025 [SQR-P],SJSU,1,6,21.8
SJCC023 [SQR-P],SJSU,1,1,30
SJSR003 [SQR-P],SJSU,1,41,59.6
SJUT015 [SQR-P],SJSU,2,9,93.8
SJUT026 [SQR-P],SJSU,1,258,13.6
FA882 [XML-P],PS,1,1,30
SJBE001 [AE],SJSU,2,2,7
CSUFA023 [AE],CSU,1,5,379.2
PRJCS_CRS [AE],PS,2,4358,566.1
CSU_ESP_SM [AE],CSU,1,53,123
GP_PKG_CMP [AE],PS,2,3,48
CSU_ESP_LDF [AE],CSU,1,13,13.2
HR_PERSDATA [AE],PS,1,350,434.4
PRCSYSPURGE [AE],PS,1,51,498.4
SJ_MSG_SEND [AE],SJSU,1,221,71.5
CSU_CGI_LOAD [AE],CSU,1,67,73.1
CSU_SPCGPA_1 [AE],CSU,1,19,951.3
EOP_PUBLISHM [AE],PS,1,591,20.3
HMCR_BLDPERM [AE],PS,1,51,245.9
SAD_TST_LOAD [AE],PS,1,165,17.1
SJ_ATG_SPRPT [AE],SJSU,1,4,10779
